type,microsite,url,sale,rent,datetime,agent_url
0,True,Foxtons Auction Covering London,13,0,2020-01-29 21:45:19.651961,https://www.rightmove.co.uk/estate-agents/agent/Foxtons-Auction/Covering-London-219074.html
0,False,Fusion Students Zenith,0,8,2020-01-29 21:45:19.790591,https://www.rightmove.co.uk/estate-agents/agent/Fusion-Students/Zenith-219059.html
0,False,Fusion Students Luna,0,4,2020-01-29 21:45:19.873370,https://www.rightmove.co.uk/estate-agents/agent/Fusion-Students/Luna-219056.html
1,False,Visit Cape Verde Santa Maria,4,0,2020-01-29 21:45:19.969114,https://www.rightmove.co.uk/overseas-property/estate-agents/Visit-Cape-Verde/Santa-Maria-219044.html
0,False,Joel Ross Property London,4,1,2020-01-29 21:45:20.196506,https://www.rightmove.co.uk/estate-agents/agent/Joel-Ross-Property/London-219065.html
1,False,La Vida Spain,3,0,2020-01-29 21:45:20.229418,https://www.rightmove.co.uk/overseas-property/estate-agents/La-Vida-Spain/Murcia-219041.html
0,False,First Investments Group LTD Sutton Coldfield,0,0,2020-01-29 21:45:20.686197,https://www.rightmove.co.uk/estate-agents/agent/First-Investments-Group-LTD/Sutton-Coldfield-219011.html
0,True,Clarke Gammon Wellers Haslemere Lettings,0,1,2020-01-29 21:45:20.886661,https://www.rightmove.co.uk/estate-agents/agent/Clarke-Gammon-Wellers/Haslemere-Lettings-219002.html
0,False,Northwood Birmingham - B5 - Lettings,0,32,2020-01-29 21:45:20.958469,https://www.rightmove.co.uk/estate-agents/agent/Northwood/Birmingham---B5---Lettings-219023.html
0,False,Acorn Belvedere,2,0,2020-01-29 21:45:21.183866,https://www.rightmove.co.uk/estate-agents/agent/Acorn/Belvedere-219029.html
1,False,Unipac Properties Accra,10,0,2020-01-29 21:45:21.343440,https://www.rightmove.co.uk/overseas-property/estate-agents/Unipac-Properties/Accra-218990.html
0,True,Balgores Loughton,18,0,2020-01-29 21:45:21.402283,https://www.rightmove.co.uk/estate-agents/agent/Balgores/Loughton-218999.html
2,False,Landa Properties Rochester,0,3,2020-01-29 21:45:21.775286,https://www.rightmove.co.uk/estate-agents/agent/Landa-Properties/Rochester-218942.html
2,False,John Goodwin FRICS Ledbury,6,24,2020-01-29 21:45:21.868038,https://www.rightmove.co.uk/estate-agents/agent/John-Goodwin-FRICS/Ledbury-218993.html
